price,availability_365,calculated_host_listings_count,minimum_nights
149,365,6,1
225,355,2,1
150,365,1,3
89,194,1,1
80,0,1,10
200,129,1,3
60,0,1,45
79,220,1,2
79,0,1,2
150,188,4,1
135,6,1,5
85,39,1,2
89,314,3,4
85,333,1,2
120,0,1,90
140,46,1,2
215,321,1,2
140,12,1,1
99,21,1,3
190,249,2,7
299,0,1,3
130,347,6,2
80,364,6,1
110,304,6,2
120,233,2,2
60,85,2,1
80,0,1,4
150,75,1,10
44,311,3,3
180,67,1,14
50,355,3,3
52,255,1,2
55,284,3,4
50,359,3,3
70,269,2,1
89,340,3,4
35,365,1,60
85,22,2,2
150,365,1,1
40,188,4,1
68,96,2,2
120,345,1,3
120,311,1,7
135,273,1,4
150,309,1,7
150,95,1,29
130,215,1,3
110,265,1,7
115,0,1,3
80,192,2,3
80,251,3,1
151,302,1,2
228,140,1,3
144,234,1,2
200,257,1,7
150,30,1,30
110,301,1,5
69,294,2,2
49,320,3,4
180,154,1,30
80,263,1,2
375,180,1,180
250,231,2,2
200,297,2,30
55,292,2,7
52,191,1,30
225,0,1,3
80,72,2,1
275,362,1,1
99,336,2,1
225,215,1,4
230,116,1,9
51,88,1,7
65,336,2,2
105,304,1,2
190,224,1,5
200,322,1,1
70,324,1,30
95,132,1,3
150,295,1,3
145,238,4,3
110,209,1,31
285,328,1,5
130,38,1,6
94,188,1,30
800,7,1,1
105,272,1,3
60,26,1,3
50,0,1,1
85,288,4,3
65,317,1,4
131,207,1,4
98,185,6,7
250,158,1,7
100,0,1,5
105,9,2,3
140,198,1,3
89,365,1,1
98,364,2,30
125,311,2,7
60,219,3,3
175,342,3,2
65,312,1,2
500,243,2,4
101,152,1,3
220,9,1,30
125,137,2,90
80,222,1,30
100,346,1,2
200,208,1,30
59,279,2,2
125,250,6,2
140,164,1,7
120,192,2,30
350,298,4,2
199,260,1,5
325,107,1,3
235,199,1,6
225,299,4,1
99,20,3,2
170,318,1,2
400,216,2,2
170,224,1,7
100,0,1,4
75,324,1,2
90,245,1,1
150,189,1,5
85,307,1,15
70,310,2,3
120,213,3,3
89,278,1,3
185,209,1,5
50,0,1,3
105,16,1,3
130,234,3,2
115,12,1,29
77,178,1,2
76,275,3,2
125,163,2,3
135,365,3,4
250,34,1,29
199,280,1,3
140,0,1,2
140,1,1,2
115,170,2,3
160,188,1,3
195,214,1,4
195,248,1,3
80,262,4,3
44,280,5,8
156,307,1,4
85,339,1,15
125,1,1,3
115,269,1,15
69,10,1,2
225,312,1,45
125,189,1,6
219,290,2,4
475,230,1,3
99,164,2,1
69,53,2,4
79,126,1,30
135,3,2,2
250,189,1,3
250,365,1,3
250,0,1,2
80,0,1,3
70,336,3,2
165,342,3,2
70,312,1,2
50,37,1,2
40,353,3,1
150,177,1,2
125,310,4,1
196,0,1,3
110,321,2,2
170,246,1,3
165,231,3,3
150,225,1,26
100,0,1,2
65,0,2,2
350,365,5,8
99,233,2,4
200,1,1,4
150,18,1,5
90,343,4,3
120,250,3,3
75,326,1,3
175,364,1,26
125,0,1,3
275,299,1,1
299,207,1,2
135,162,3,5
130,0,2,14
83,7,1,1
123,328,1,1
55,365,2,2
195,0,1,5
80,0,1,2
98,240,5,30
140,365,5,7
265,365,5,7
249,164,2,2
105,363,1,6
200,365,1,30
100,250,3,2
121,247,5,1
45,323,3,1
100,192,1,5
140,125,1,2
71,91,1,2
130,75,1,2
199,286,1,5
69,60,2,4
68,0,1,3
130,192,1,1
195,58,1,2
64,245,5,1
140,292,1,2
159,279,1,2
189,0,1,3
250,3,1,3
239,351,1,3
305,201,1,2
155,232,2,3
60,258,2,1
135,272,1,2
120,341,1,7
150,244,1,3
140,365,5,14
135,12,1,2
250,265,2,4
250,0,1,30
500,329,1,4
225,91,1,5
125,365,2,28
92,253,5,1
175,365,1,2
99,320,1,2
195,0,1,4
140,192,3,3
135,0,1,2
500,348,1,2
80,0,2,14
120,353,2,4
110,140,1,200
65,2,1,3
130,56,1,50
99,68,1,3
36,360,6,2
37,0,6,2
37,320,6,2
175,326,2,3
205,76,2,9
285,279,3,3
59,15,2,2
36,340,6,2
99,226,1,5
39,365,2,1
60,0,2,14
90,349,7,2
105,365,13,2
135,11,2,2
390,316,2,5
70,281,4,3
75,323,2,7
60,362,4,17
200,0,1,3
100,301,1,3
70,189,4,4
110,0,1,6
60,287,2,2
90,14,1,14
68,86,2,2
115,261,1,2
75,68,1,5
60,0,1,3
129,231,1,7
130,152,1,10
95,46,1,4
75,364,1,3
175,246,1,2
190,288,1,3
49,331,5,21
212,51,1,3
95,364,3,1
140,254,1,2
135,189,1,6
150,263,2,2
190,258,2,3
124,103,1,28
135,42,1,30
122,246,1,3
109,364,2,1
85,318,1,30
145,72,2,3
195,249,1,11
250,272,3,2
125,325,1,3
575,298,1,2
150,35,1,30
70,203,1,5
90,132,1,2
65,5,1,3
500,297,4,2
250,276,2,3
125,102,1,25
200,251,1,30
229,188,1,1
90,346,2,30
110,0,1,13
59,15,1,3
195,71,1,4
169,215,2,1
113,253,3,14
250,78,1,14
115,257,1,2
55,0,1,2
69,8,2,2
150,191,1,3
169,182,3,2
179,79,28,3
150,49,1,3
135,0,1,4
350,156,1,6
120,343,6,14
71,200,1,2
349,60,28,3
349,60,28,3
165,189,2,30
249,60,28,3
100,0,2,3
200,106,2,3
169,276,1,4
185,248,1,3
65,194,1,2
130,135,1,35
199,30,1,30
225,0,1,2
179,81,28,3
150,0,1,5
139,142,1,1
95,60,2,3
79,179,5,15
150,52,2,2
650,365,3,5
90,324,4,3
120,237,2,2
80,365,2,1
100,365,1,90
175,204,1,2
120,272,1,5
140,0,1,7
200,9,1,5
165,365,3,4
125,181,3,4
130,189,1,30
65,0,2,7
123,189,1,30
67,296,1,2
50,88,1,1
130,35,1,7
100,0,1,3
212,35,1,21
190,359,1,3
599,60,28,3
249,365,2,5
70,335,1,27
100,282,5,30
60,247,2,3
135,102,1,2
175,274,3,3
120,201,1,5
169,98,1,18
165,157,1,7
90,0,1,1
225,312,1,2
95,331,2,2
55,275,2,2
85,174,1,10
199,223,2,14
211,361,3,1
145,0,1,6
65,283,1,14
99,220,1,1
110,363,1,4
80,315,4,3
150,281,1,30
110,283,1,4
290,20,1,2
87,0,1,2
190,331,1,4
200,36,1,2
165,7,2,2
110,301,2,2
395,170,1,2
99,307,2,2
39,365,2,1
189,201,3,2
85,0,1,1
260,316,1,30
122,271,5,1
165,139,1,2
97,209,3,3
170,0,1,4
125,0,1,2
130,193,1,4
225,52,1,10
50,136,2,2
170,286,2,3
132,0,1,4
250,18,1,7
141,9,1,5
64,3,1,20
249,277,1,3
79,0,1,2
185,233,1,2
120,221,1,3
495,355,1,1
375,0,1,3
175,277,1,3
150,0,1,4
259,343,1,8
96,0,1,1
145,0,1,7
200,0,1,4
95,0,1,5
250,188,1,4
295,264,2,2
175,0,1,3
451,331,1,2
165,236,1,2
250,0,1,4
77,309,1,1
250,0,1,4
129,245,1,1
98,0,4,2
150,8,1,2
95,359,1,7
55,333,5,3
300,258,3,2
42,236,3,40
125,22,1,2
175,236,1,3
75,365,3,3
255,89,1,45
72,164,1,31
165,311,4,1
165,23,1,5
75,365,2,3
130,0,1,5
139,222,1,2
88,238,3,1
80,218,3,1
150,0,1,2
200,0,1,3
200,235,1,2
42,246,3,40
90,0,1,6
295,247,1,3
450,15,1,5
130,119,1,2
89,0,3,3
198,234,2,5
99,257,3,2
46,350,3,4
140,221,1,2
500,0,1,7
75,201,2,5
33,161,3,44
250,259,1,31
60,0,1,3
75,222,1,2
350,0,1,5
205,76,2,9
219,0,1,5
60,258,6,1
185,14,1,2
190,27,1,3
105,167,1,28
250,68,2,2
175,358,1,65
65,59,2,2
75,0,1,2
37,232,1,4
85,15,2,2
106,0,2,7
79,0,1,2
85,161,2,2
170,88,2,2
115,337,2,3
89,247,2,5
49,248,1,3
91,287,1,3
400,304,1,2
150,0,1,2
2000,0,11,30
97,193,1,3
100,43,2,4
179,25,1,4
500,127,2,2
429,0,1,10
189,303,1,6
120,345,1,2
300,115,3,1
107,200,8,30
95,271,8,30
199,12,1,2
120,268,1,2
199,89,2,15
125,347,2,2
70,37,1,2
75,0,1,4
100,359,1,30
99,287,2,2
250,0,1,1
350,233,1,6
170,129,1,3
165,0,1,1
99,353,1,1
255,365,1,4
169,297,1,3
99,56,1,4
169,44,1,7
160,355,1,3
215,156,1,3
130,273,1,3
110,274,2,3
150,258,2,28
65,276,1,30
75,65,1,2
149,0,2,6
89,180,1,6
50,343,1,1
43,43,2,1
42,96,2,1
85,59,1,1
139,255,1,3
105,252,2,1
265,0,1,5
149,20,1,1
68,188,2,2
99,304,1,3
75,38,2,3
100,254,1,2
90,0,1,1
160,46,1,30
190,328,1,4
67,0,3,4
190,0,1,1
248,199,6,2
100,249,1,6
95,64,2,3
150,111,1,1
145,287,1,3
41,286,1,2
120,263,1,4
50,276,2,3
157,0,1,2
195,263,1,14
70,90,2,4
185,0,1,3
145,11,3,3
50,287,1,28
185,1,3,3
250,0,1,1
80,338,1,90
230,44,1,2
100,0,1,7
40,5,1,1
200,0,1,30
80,158,1,2
79,192,3,3
95,358,8,30
300,31,3,2
100,241,1,30
