availability_365,calculated_host_listings_count,minimum_nights
1,1,3
0,1,2
0,2,2
267,1,3
0,1,5
270,31,30
43,1,7
4,1,1
0,1,1
0,1,1
150,9,30
338,65,30
329,5,1
0,1,1
63,2,30
170,2,1
0,1,3
112,2,3
281,5,1
124,1,2
364,7,30
0,1,2
0,1,14
89,1,2
0,3,4
57,1,2
0,1,2
41,1,2
0,1,10
327,52,30
52,1,2
180,1,1
0,1,15
199,6,2
364,5,1
0,1,2
161,8,30
67,1,7
0,1,3
0,1,2
0,1,14
0,1,3
0,1,3
339,1,2
243,1,3
124,3,4
341,1,5
42,1,3
312,232,30
0,2,1
0,3,1
242,2,31
7,1,1
365,3,1
213,1,7
0,1,4
0,1,4
0,1,3
106,3,15
0,1,5
0,1,3
0,2,1
0,1,3
129,1,2
230,7,1
15,1,1
32,1,1
228,1,3
282,1,1
173,1,7
0,1,14
0,1,1
0,2,5
98,4,4
301,1,30
0,1,5
249,4,2
179,1,1
328,4,2
286,1,2
0,1,1
341,1,6
190,1,4
194,1,2
365,3,2
91,2,5
36,1,3
0,1,15
9,1,5
3,1,3
278,1,3
0,1,1
5,1,2
95,1,7
363,1,1
0,4,2
355,4,1
179,1,1
74,1,2
0,1,4
0,1,30
176,1,14
0,1,2
0,1,3
93,1,1
64,1,1
330,11,1
0,1,1
342,2,2
121,6,1
0,1,1
0,3,5
199,4,1
0,1,5
0,1,1
0,1,1
0,1,4
365,1,1
0,3,1
141,2,3
0,1,3
0,1,4
350,1,2
45,2,30
3,1,2
330,232,30
8,1,2
311,2,3
266,1,2
19,1,1
364,2,1
0,1,2
198,1,2
330,3,1
0,1,3
0,1,1
125,1,3
0,1,7
59,3,2
0,1,3
249,1,1
83,1,1
340,2,4
0,1,2
130,1,1
236,2,1
302,3,3
108,1,3
0,1,2
71,1,1
281,1,3
323,2,1
326,65,30
0,1,1
235,5,2
0,2,14
3,3,2
43,1,1
0,1,5
365,121,30
341,1,1
350,7,1
295,2,1
0,1,1
16,1,1
134,2,1
0,1,3
0,1,3
69,1,3
33,2,4
29,1,2
63,3,5
0,2,2
0,2,3
0,1,3
78,1,4
91,3,1
351,47,30
342,3,30
118,1,12
147,1,2
125,2,4
0,1,2
0,1,70
44,1,3
6,1,30
40,1,6
72,2,1
0,1,1
0,1,5
319,1,1
0,2,3
159,1,3
0,1,2
6,1,2
363,2,1
272,1,2
311,34,30
179,1,7
5,1,3
0,1,1
31,1,14
19,1,2
174,1,5
179,2,1
0,1,9
27,1,3
246,1,1
0,1,2
288,1,2
